"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000921","서울방이초등학교","02","공립","N","","5","134","26.8","5","113","22.6","5","126","25.2","5","132","26.4","6","138","23","6","129","21.5","2","8","4","0","0","0","34","780","22.9","40","19.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000922","서울삼전초등학교","02","공립","N","","7","190","27.1","7","166","23.7","7","160","22.9","7","181","25.9","8","204","25.5","8","189","23.6","2","8","4","0","0","0","46","1098","23.9","56","19.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000923","서울상일초등학교","02","공립","N","","1","21","21","2","32","16","2","38","19","2","33","16.5","3","53","17.7","3","55","18.3","1","2","2","0","0","0","14","234","16.7","18","13"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000924","서울석촌초등학교","02","공립","N","","8","224","28","9","220","24.4","8","203","25.4","8","210","26.3","8","214","26.8","8","204","25.5","0","0","0","0","0","0","49","1275","26","59","21.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000925","서울선린초등학교","02","공립","N","","5","120","24","4","96","24","3","83","27.7","4","106","26.5","4","92","23","6","119","19.8","0","0","0","0","0","0","26","616","23.7","33","18.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000926","서울선사초등학교","02","공립","N","","8","207","25.9","8","216","27","7","182","26","7","184","26.3","8","201","25.1","8","204","25.5","0","0","0","0","0","0","46","1194","26","59","20.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000927","서울성내초등학교","02","공립","N","","7","179","25.6","8","204","25.5","8","193","24.1","7","181","25.9","7","180","25.7","7","176","25.1","2","7","3.5","0","0","0","46","1120","24.3","55","20.4"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000928","서울성일초등학교","02","공립","N","","7","195","27.9","6","149","24.8","6","153","25.5","7","179","25.6","9","222","24.7","8","203","25.4","2","4","2","0","0","0","45","1105","24.6","54","20.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000929","서울세륜초등학교","02","공립","N","","5","110","22","4","97","24.3","4","97","24.3","5","112","22.4","5","126","25.2","7","143","20.4","0","0","0","0","0","0","30","685","22.8","38","18"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000930","서울송전초등학교","02","공립","N","","5","149","29.8","5","154","30.8","5","144","28.8","5","138","27.6","5","160","32","5","142","28.4","0","0","0","0","0","0","30","887","29.6","39","22.7"
