통계표,지역별 경상수지,지역별 경상수지 지역코드,단위,변환,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"2.5.1.4. 지역별 경상수지","    운송수지","  중남미","백만달러","원자료","383.9","457.2","362.3","409.4","576.8","574.5","770.5","1,289.6","2,374.2","1,070.8","1,444.2","1,066.4","1,125.2","943.9","615.6","636.7","236.1","5","43.1","-47.5","-54.9","414.1","454.5","-130.4"
"2.5.1.4. 지역별 경상수지","    운송수지","  기타","백만달러","원자료","448.6","356.9","408.7","743.6","536","155.2","882.1","1,555.8","2,695.4","1,248.6","1,807.3","1,506.5","1,036.1","1,296.5","1,091.6","858.1","172.3","-393.5","-773.3","-347.5","-897.7","-304.6","784.8","-942.1"
"2.5.1.4. 지역별 경상수지","    여행수지","총계","백만달러","원자료","-297.6","-1,235.5","-4,532.6","-4,748.1","-6,285","-9,608.2","-13,092.1","-15,854.3","-9,321.3","-5,261.6","-8,502.9","-7,558.1","-7,372","-7,255.2","-5,732.2","-10,471.5","-10,357.4","-18,323.7","-16,565.7","-11,872","-5,815.8","-7,025.6","-8,369","-12,527"
"2.5.1.4. 지역별 경상수지","    여행수지","  미국","백만달러","원자료","-786.7","-847.4","-1,459.3","-1,443","-2,320.3","-3,266.9","-4,139.2","-5,315.1","-4,168.4","-3,584.8","-3,903.6","-4,156.6","-4,623.2","-4,214.5","-4,700.3","-5,428.2","-5,671.7","-5,504.8","-5,276.5","-4,419.7","-1,706.4","-862.1","-772.9","-1,688.2"
"2.5.1.4. 지역별 경상수지","    여행수지","  중국","백만달러","원자료","-701.1","-375.6","-1,014","-842.8","-1,016.6","-1,555.5","-1,739.1","-1,364.5","-656.2","-625.3","-424.3","67.2","1,193.9","3,626.2","7,129.3","6,741.4","7,613.1","3,429.9","5,483.7","6,462.2","1,704.6","743","250.2","3,032.8"
"2.5.1.4. 지역별 경상수지","    여행수지","  일본","백만달러","원자료","2,145.3","1,665.8","729.3","207.2","343.1","-537.2","-1,532.7","-3,198.8","-431.7","1,588","835.6","1,914.6","1,943.4","-198.8","-254.5","-1,950.4","-2,175.6","-3,458.4","-3,738.9","-1,844.9","494.5","218.5","-20.8","-3,379.5"
"2.5.1.4. 지역별 경상수지","    여행수지","  EU","백만달러","원자료","-319.4","-591.9","-941","-715.8","-609.6","-885.7","-1,120.2","-1,408","-1,053.2","-737.7","-955.8","-1,107.1","-1,794.6","-1,950.3","-2,608.7","-3,278.4","-4,050.5","-5,687.2","-5,771.1","-7,020.3","-2,839.7","-4,048.9","-4,433.2","-4,710.2"
"2.5.1.4. 지역별 경상수지","    여행수지","  동남아","백만달러","원자료","-561.2","-734.1","-1,660.8","-1,690.1","-1,048.8","-1,266.1","-2,522.8","-2,727.9","-1,593.7","-703.9","-2,001.2","-2,464.1","-2,204.3","-2,398.5","-2,665.8","-3,679.5","-3,549.3","-4,319.1","-4,205.8","-2,517.1","-1,195.4","-983.4","-2,181.7","-3,522.8"
"2.5.1.4. 지역별 경상수지","    여행수지","  중동","백만달러","원자료","-49.9","-32","-56.3","-14.9","-13.7","-55.2","-13.6","-37.1","-57.3","-20.8","-104.2","-26.3","-48.3","-37.6","-25.3","-42.7","-14.2","-2.5","10.2","54.5","-32","-61.9","-27.5","31.1"
"2.5.1.4. 지역별 경상수지","    여행수지","  중남미","백만달러","원자료","-34.4","-0.4","25.2","-6.5","17.3","-18.4","-4.7","-35.9","-35.4","-8.4","-66.1","-65.8","-48.5","-29.6","-110.4","-155.5","-134.2","-107.1","-121","-106.8","-45.9","-59.6","-58.7","-38.8"
